dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_2,leaf7,10.0,6,4999,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,6,5000,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine1,10.0,6,5001,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine2,10.0,6,5002,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine3,10.0,6,5003,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine4,10.0,6,5004,1.0,0.29,0.6712962962962963
BGP_testbed_3,leaf1,10.0,6,5005,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf2,10.0,6,5006,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf3,10.0,6,5007,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,6,5008,1.0,0.25,0.625
BGP_testbed_3,leaf6,10.0,6,5009,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,6,5010,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,6,5011,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,6,5012,1.0,0.75,0.9375
BGP_testbed_3,spine2,10.0,6,5013,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,6,5014,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,6,5015,1.0,0.12,0.4054054054054054
BGP_testbed_2,leaf1,10.0,8,5016,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf2,10.0,8,5017,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,8,5018,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf5,10.0,8,5019,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf6,10.0,8,5020,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf7,10.0,8,5021,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,8,5022,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine1,10.0,8,5023,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine2,10.0,8,5024,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine3,10.0,8,5025,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine4,10.0,8,5026,1.0,0.29,0.6712962962962963
BGP_testbed_3,leaf1,10.0,8,5027,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf2,10.0,8,5028,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,8,5029,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,8,5030,1.0,0.25,0.625
BGP_testbed_3,leaf6,10.0,8,5031,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,8,5032,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,8,5033,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,8,5034,1.0,0.75,0.9375
BGP_testbed_3,spine2,10.0,8,5035,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,8,5036,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,8,5037,1.0,0.25,0.625
BGP_testbed_2,leaf1,10.0,10,5038,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf2,10.0,10,5039,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,10,5040,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf5,10.0,10,5041,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,10,5042,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf7,10.0,10,5043,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,10,5044,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine1,10.0,10,5045,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine2,10.0,10,5046,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine3,10.0,10,5047,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,10,5048,1.0,0.29,0.6712962962962963
BGP_testbed_3,leaf1,10.0,10,5049,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf2,10.0,10,5050,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,10,5051,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,10,5052,1.0,0.25,0.625
BGP_testbed_3,leaf6,10.0,10,5053,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,10,5054,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,10,5055,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,10,5056,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,10,5057,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,10,5058,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,10,5059,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,12,5060,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,12,5061,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,12,5062,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,12,5063,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,12,5064,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf7,10.0,12,5065,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,12,5066,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,12,5067,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,12,5068,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,12,5069,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,12,5070,1.0,0.43,0.7904411764705883
