dataset,node,n_neighbors,leaf_size,contamination,id,precision,recall,fscore
BGP_testbed_2,leaf1,1,30,0.046,198,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf2,1,30,0.046,199,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf3,1,30,0.046,200,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf5,1,30,0.046,201,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf6,1,30,0.046,202,1.0,1.0,1.0
BGP_testbed_2,leaf7,1,30,0.046,203,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf8,1,30,0.046,204,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine1,1,30,0.046,205,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine2,1,30,0.046,206,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine3,1,30,0.046,207,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine4,1,30,0.046,208,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.046,209,0.78,0.88,0.798139534883721
BGP_testbed_3,leaf2,1,30,0.046,210,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf3,1,30,0.046,211,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf5,1,30,0.046,212,1.0,1.0,1.0
BGP_testbed_3,leaf6,1,30,0.046,213,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf7,1,30,0.046,214,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.046,215,1.0,1.0,1.0
BGP_testbed_3,spine1,1,30,0.046,216,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,1,30,0.046,217,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.046,218,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.046,219,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.051000000000000004,220,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf2,1,30,0.051000000000000004,221,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf3,1,30,0.051000000000000004,222,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf5,1,30,0.051000000000000004,223,0.58,1.0,0.6331877729257641
BGP_testbed_2,leaf6,1,30,0.051000000000000004,224,1.0,1.0,1.0
BGP_testbed_2,leaf7,1,30,0.051000000000000004,225,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf8,1,30,0.051000000000000004,226,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine1,1,30,0.051000000000000004,227,0.58,1.0,0.6331877729257641
BGP_testbed_2,spine2,1,30,0.051000000000000004,228,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine3,1,30,0.051000000000000004,229,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine4,1,30,0.051000000000000004,230,0.88,1.0,0.9016393442622952
BGP_testbed_3,leaf1,1,30,0.051000000000000004,231,0.7,0.88,0.7298578199052134
BGP_testbed_3,leaf2,1,30,0.051000000000000004,232,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf3,1,30,0.051000000000000004,233,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf5,1,30,0.051000000000000004,234,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf6,1,30,0.051000000000000004,235,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf7,1,30,0.051000000000000004,236,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.051000000000000004,237,1.0,1.0,1.0
BGP_testbed_3,spine1,1,30,0.051000000000000004,238,1.0,1.0,1.0
BGP_testbed_3,spine2,1,30,0.051000000000000004,239,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.051000000000000004,240,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.051000000000000004,241,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.056,242,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf2,1,30,0.056,243,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf3,1,30,0.056,244,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf5,1,30,0.056,245,0.54,1.0,0.5947136563876653
BGP_testbed_2,leaf6,1,30,0.056,246,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf7,1,30,0.056,247,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf8,1,30,0.056,248,0.64,1.0,0.6896551724137931
BGP_testbed_2,spine1,1,30,0.056,249,0.54,1.0,0.5947136563876653
BGP_testbed_2,spine2,1,30,0.056,250,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine3,1,30,0.056,251,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine4,1,30,0.056,252,0.88,1.0,0.9016393442622952
BGP_testbed_3,leaf1,1,30,0.056,253,0.7,0.88,0.7298578199052134
BGP_testbed_3,leaf2,1,30,0.056,254,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf3,1,30,0.056,255,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf5,1,30,0.056,256,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf6,1,30,0.056,257,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf7,1,30,0.056,258,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.056,259,1.0,1.0,1.0
BGP_testbed_3,spine1,1,30,0.056,260,1.0,1.0,1.0
BGP_testbed_3,spine2,1,30,0.056,261,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.056,262,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.056,263,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.061,264,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf2,1,30,0.061,265,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf3,1,30,0.061,266,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf5,1,30,0.061,267,0.41,1.0,0.4648526077097505
BGP_testbed_2,leaf6,1,30,0.061,268,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf7,1,30,0.061,269,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf8,1,30,0.061,270,0.5,1.0,0.5555555555555556
BGP_testbed_2,spine1,1,30,0.061,271,0.54,1.0,0.5947136563876653
BGP_testbed_2,spine2,1,30,0.061,272,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine3,1,30,0.061,273,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine4,1,30,0.061,274,0.7,1.0,0.7446808510638298
BGP_testbed_3,leaf1,1,30,0.061,275,0.7,0.88,0.7298578199052134
BGP_testbed_3,leaf2,1,30,0.061,276,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf3,1,30,0.061,277,0.73,1.0,0.7716701902748413
