dataset,node,window,R,k,id,precision,recall,fscore
BGP_testbed_3,spine3,10,2.0,3,218,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine4,10,2.0,3,219,0.1,1.0,0.12195121951219513
BGP_testbed_2,leaf1,10,2.0,4,220,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf2,10,2.0,4,221,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf3,10,2.0,4,222,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf5,10,2.0,4,223,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf6,10,2.0,4,224,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf7,10,2.0,4,225,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf8,10,2.0,4,226,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine1,10,2.0,4,227,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine2,10,2.0,4,228,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine3,10,2.0,4,229,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine4,10,2.0,4,230,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf1,10,2.0,4,231,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,2.0,4,232,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf3,10,2.0,4,233,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf5,10,2.0,4,234,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf6,10,2.0,4,235,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf7,10,2.0,4,236,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf8,10,2.0,4,237,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine1,10,2.0,4,238,0.12,1.0,0.14563106796116504
BGP_testbed_3,spine2,10,2.0,4,239,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine3,10,2.0,4,240,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine4,10,2.0,4,241,0.11,1.0,0.13381995133819952
BGP_testbed_2,leaf1,10,2.0,5,242,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf2,10,2.0,5,243,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf3,10,2.0,5,244,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf5,10,2.0,5,245,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf6,10,2.0,5,246,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf7,10,2.0,5,247,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf8,10,2.0,5,248,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine1,10,2.0,5,249,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine2,10,2.0,5,250,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine3,10,2.0,5,251,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine4,10,2.0,5,252,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf1,10,2.0,5,253,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,2.0,5,254,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf3,10,2.0,5,255,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf5,10,2.0,5,256,0.12,1.0,0.14563106796116504
